voyage_id,vessel_type,dwt,n_ports,nz_dest_port,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
3506,Container,99863.0,7,TAURANGA,0.0003894631,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.29700413, 0.45304817, 0.48465418, 0.53930962, 0.58504083, 0.62793171]","[0.00013195, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[3.91903e-05, 5.53137e-05, 5.91726e-05, 7.25886e-05, 7.87438e-05, 8.45167e-05]"
3507,Container,99863.0,7,TAURANGA,0.0004325902,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.46619452, 0.4860359, 0.51984683, 0.56548293, 0.6312547, 0.6825129]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[5.69188e-05, 5.93413e-05, 6.34693e-05, 7.61114e-05, 8.49639e-05, 9.1863e-05]"
3508,Container,99863.0,7,TAURANGA,0.0004125771,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.30847461, 0.48524403, 0.51169863, 0.56613401, 0.61801825, 0.6749339]","[0.00013195, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[4.07039e-05, 5.92446e-05, 6.24745e-05, 7.6199e-05, 8.31824e-05, 9.08429e-05]"
3509,Container,99863.0,7,TAURANGA,0.0003961415,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.42865187, 0.44960276, 0.47848261, 0.52170804, 0.56677016, 0.62450318]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[5.23351e-05, 5.48931e-05, 5.84191e-05, 7.02195e-05, 7.62846e-05, 8.40552e-05]"
3510,Container,99863.0,7,TAURANGA,0.0004226902,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.44946295, 0.47715815, 0.50913497, 0.56338291, 0.60929002, 0.66594456]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[5.4876e-05, 5.82574e-05, 6.21615e-05, 7.58287e-05, 8.20076e-05, 8.9633e-05]"
3512,Container,99778.0,6,TAURANGA,0.0003689803,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.47847625, 0.50933678, 0.56236722, 0.6090344, 0.67435381]","[0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[5.84183e-05, 6.21861e-05, 7.5692e-05, 8.19732e-05, 9.07649e-05]"
3514,Container,99798.0,6,TAURANGA,0.0003530797,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.45890578, 0.48477213, 0.53934192, 0.58614958, 0.64212831]","[0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[5.60289e-05, 5.9187e-05, 7.25929e-05, 7.8893e-05, 8.64275e-05]"
3516,General Cargo,38206.0,7,NAPIER,0.0003334172,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.24570597, 0.34441639, 0.46303979, 0.5502262, 0.60124967, 0.65009466]","[0.00012132, 0.00010536, 0.00010536, 0.00012132, 0.00012132, 0.00012132]","[2.98102e-05, 3.62893e-05, 4.8788e-05, 6.6756e-05, 7.29464e-05, 7.88725e-05]"
3519,Bulker,32701.0,5,LYTTELTON,0.0003377145,"[1.0, 0.999915, 0.999988, 0.999991]","[0.34355972, 0.62702818, 0.83356003, 0.88499381]","[8.776e-05, 0.00010558, 0.00014047, 0.00014047]","[3.01506e-05, 6.61974e-05, 0.0001170905, 0.0001243158]"
3523,General Cargo,40527.0,6,TAURANGA,0.0003847123,"[1.0, 1.0, 1.0, 1.0, 0.999989]","[0.34813014, 0.4576784, 0.57486277, 0.61737775, 0.90588604]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013371]","[4.59365e-05, 6.03916e-05, 7.58544e-05, 8.14643e-05, 0.0001211232]"
