voyage_id,vessel_type,dwt,n_ports,nz_dest_port,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
1,Bulker,40259.0,6,TAURANGA,0.0003605734,"[1.0, 1.0, 0.999999, 1.0, 0.999968]","[0.11172587, 0.30765094, 0.67073716, 0.79326476, 0.90488992]","[0.00011174, 0.00011553, 0.00013088, 0.00013088, 0.00013371]","[1.24837e-05, 3.55434e-05, 8.77852e-05, 0.0001038215, 0.0001209874]"
17,Reefer,14933.0,6,TAURANGA,0.0002429003,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.20697468, 0.27815255, 0.43028723, 0.50018113, 0.65628922]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.00013092]","[1.98506e-05, 2.66771e-05, 4.94054e-05, 6.10683e-05, 8.59211e-05]"
20,Reefer,14933.0,7,TAURANGA,0.0002896065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.17072822, 0.22122279, 0.36104198, 0.42738693, 0.54011139, 0.63684518]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.0001346, 0.0001346]","[1.63743e-05, 2.12171e-05, 4.14547e-05, 5.21807e-05, 7.26965e-05, 8.57164e-05]"
27,Reefer,12350.0,6,TAURANGA,0.0002515268,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.25250654, 0.30900817, 0.38100392, 0.47550847, 0.55211706]","[0.00011482, 0.00012209, 0.00012209, 0.0001346, 0.0001346]","[2.89927e-05, 3.77275e-05, 4.65177e-05, 6.40012e-05, 7.43124e-05]"
28,Reefer,12350.0,6,TAURANGA,0.0002255436,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.19937558, 0.25334353, 0.38832317, 0.453705, 0.61043802]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.0001346]","[1.91218e-05, 2.42978e-05, 4.45871e-05, 5.53939e-05, 8.21621e-05]"
30,General Cargo,16950.0,5,TAURANGA,0.0002113052,"[1.0, 1.0, 1.0, 1.0]","[0.25489502, 0.31172907, 0.43665366, 0.6509556]","[0.00011482, 0.00012209, 0.0001346, 0.00013092]","[2.92669e-05, 3.80597e-05, 5.87715e-05, 8.52228e-05]"
32,Reefer,16950.0,5,NELSON,0.0002287904,"[1.0, 1.0, 1.0, 1.0]","[0.24993323, 0.36351199, 0.44777409, 0.68943945]","[0.00013077, 0.00013061, 0.00013061, 0.00013077]","[3.2685e-05, 4.74787e-05, 5.84843e-05, 9.01613e-05]"
39,Reefer,12942.0,7,GISBORNE,0.0002362205,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.16218709, 0.20113817, 0.28155253, 0.37024671, 0.48519732, 0.5533679]","[0.00012123, 0.00011161, 0.00011161, 0.00011161, 0.00011688, 0.00011688]","[1.96618e-05, 2.24485e-05, 3.14233e-05, 4.13222e-05, 5.67097e-05, 6.46774e-05]"
40,Reefer,12942.0,5,TAURANGA,0.0001925047,"[1.0, 1.0, 1.0, 1.0]","[0.22408735, 0.26872811, 0.3850502, 0.62750275]","[0.00011482, 0.00012209, 0.0001346, 0.00013092]","[2.57296e-05, 3.28096e-05, 5.1826e-05, 8.21524e-05]"
42,General Cargo,20202.0,6,TAURANGA,0.0002754653,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.18174732, 0.30287846, 0.53373066, 0.64890525, 0.72586535]","[0.00012123, 9.591e-05, 0.00011482, 0.00011482, 0.00012209]","[2.20331e-05, 2.90486e-05, 6.12827e-05, 7.4507e-05, 8.86226e-05]"
44,General Cargo,16950.0,5,TAURANGA,0.0002330117,"[1.0, 1.0, 1.0, 1.0]","[0.23158241, 0.37521511, 0.45491221, 0.69493949]","[0.00013092, 0.0001346, 0.0001346, 0.00013092]","[3.03187e-05, 5.05022e-05, 6.12291e-05, 9.09812e-05]"
46,Reefer,10713.0,6,TAURANGA,0.0001974213,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.13437109, 0.25524798, 0.31184242, 0.48582866, 0.58037069]","[0.00012209, 9.591e-05, 9.591e-05, 0.00011482, 0.00012209]","[1.64057e-05, 2.44804e-05, 2.99083e-05, 5.57826e-05, 7.08588e-05]"
51,General Cargo,13958.0,7,NELSON,0.00024559,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.12495427, 0.1990023, 0.34744869, 0.48212113, 0.56429932, 0.64443279]","[0.00012002, 0.00012307, 0.00012889, 8.676e-05, 9.888e-05, 9.888e-05]","[1.49966e-05, 2.44912e-05, 4.47814e-05, 4.18272e-05, 5.57972e-05, 6.37207e-05]"
54,General Cargo,10603.0,6,NELSON,0.0001932682,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.13131159, 0.21810489, 0.37893508, 0.49802957, 0.59298754]","[0.00012002, 0.00012307, 0.00012889, 8.676e-05, 9.888e-05]","[1.57596e-05, 2.68421e-05, 4.88395e-05, 4.32074e-05, 5.86338e-05]"
57,Reefer,10621.0,5,TAURANGA,0.0002198342,"[1.0, 1.0, 1.0, 1.0]","[0.23209539, 0.35303774, 0.5074168, 0.61278148]","[0.00014211, 0.00011063, 0.00013195, 0.00013195]","[3.29824e-05, 3.90566e-05, 6.69547e-05, 8.08578e-05]"
60,RoRo,22815.0,7,AUCKLAND,0.0004337546,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.3758434, 0.46382636, 0.55090542, 0.62598903, 0.69045834, 0.90132972]","[9.871e-05, 9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[3.70995e-05, 4.57843e-05, 7.26931e-05, 8.26006e-05, 9.11074e-05, 0.0001045463]"
61,RoRo,22815.0,7,AUCKLAND,0.0004555231,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.998457]","[0.39194604, 0.46837219, 0.56160346, 0.63831768, 0.70802522, 0.91428086]","[0.00013195, 9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[5.17181e-05, 4.62331e-05, 7.41048e-05, 8.42274e-05, 9.34254e-05, 0.0001058995]"
62,RoRo,22815.0,7,AUCKLAND,0.0004169441,"[1.0, 1.0, 1.0, 0.999965, 0.999913, 0.999998]","[0.26529238, 0.32257315, 0.39030344, 0.64315209, 0.74463958, 0.86429384]","[0.00013195, 9.871e-05, 0.00013195, 0.00013371, 0.00013371, 0.00013088]","[3.50059e-05, 3.18412e-05, 5.15014e-05, 8.59918e-05, 9.95558e-05, 0.0001131174]"
63,RoRo,22815.0,7,AUCKLAND,0.0004056805,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.32987476, 0.40474913, 0.4841209, 0.55052644, 0.60642938, 0.8727401]","[9.871e-05, 9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00013371]","[3.2562e-05, 3.99528e-05, 6.38808e-05, 7.26431e-05, 8.00196e-05, 0.0001166885]"
64,RoRo,22815.0,6,AUCKLAND,0.0003925681,"[0.999862, 1.0, 1.0, 1.0, 1.0]","[0.34778157, 0.55096548, 0.63717608, 0.7156792, 0.76600432]","[0.00011601, 0.00013195, 0.00013195, 0.00013195, 0.00013195]","[4.03396e-05, 7.27011e-05, 8.40767e-05, 9.44354e-05, 0.0001010759]"
65,RoRo,22815.0,6,AUCKLAND,0.0003123375,"[1.0, 0.999965, 0.999913, 0.999998, 1.0]","[0.25024289, 0.37292661, 0.45873583, 0.53074776, 0.74798865]","[0.00013195, 0.00013371, 0.00013371, 0.00013088, 0.00013195]","[3.30201e-05, 4.98616e-05, 6.13315e-05, 6.94634e-05, 9.86987e-05]"
67,RoRo,22815.0,7,AUCKLAND,0.000442724,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.36037445, 0.44539217, 0.54765235, 0.62600222, 0.6902768, 0.90815295]","[0.00013195, 9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[4.75522e-05, 4.39647e-05, 7.22639e-05, 8.26023e-05, 9.10835e-05, 0.0001053377]"
70,General Cargo,7285.0,5,NAPIER,0.0001522492,"[1.0, 1.0, 1.0, 1.0]","[0.15677368, 0.23829003, 0.4000792, 0.50126111]","[8.967e-05, 8.382e-05, 0.00013117, 0.00013117]","[1.40571e-05, 1.99726e-05, 5.24777e-05, 6.57495e-05]"
73,General Cargo,7285.0,6,TIMARU,0.0001831217,"[0.999996, 1.0, 1.0, 1.0, 1.0]","[0.12275553, 0.2194356, 0.29284708, 0.4167019, 0.51088038]","[0.00014047, 8.967e-05, 8.382e-05, 0.00013117, 0.00013117]","[1.72437e-05, 1.96757e-05, 2.45454e-05, 5.46581e-05, 6.70113e-05]"
76,General Cargo,7285.0,7,NAPIER,0.0001964314,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999999]","[0.10429089, 0.15614225, 0.19667043, 0.29098686, 0.42258194, 0.55166656]","[8.776e-05, 8.498e-05, 8.498e-05, 8.382e-05, 0.00013117, 0.00014047]","[9.1525e-06, 1.32683e-05, 1.67122e-05, 2.43894e-05, 5.54293e-05, 7.74937e-05]"
79,RoRo,21423.0,7,AUCKLAND,0.0003053452,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.21751338, 0.26978184, 0.31985632, 0.3744626, 0.58501076, 0.65076842]","[9.591e-05, 9.591e-05, 9.591e-05, 0.00013982, 0.00014211, 0.00014211]","[2.08613e-05, 2.58743e-05, 3.06769e-05, 5.23561e-05, 8.31342e-05, 9.24789e-05]"
81,RoRo,21414.0,7,AUCKLAND,0.0004093646,"[1.0, 1.0, 1.0, 1.0, 0.999998, 0.999913]","[0.21013073, 0.26442441, 0.43528151, 0.50556103, 0.76846118, 0.88282897]","[9.591e-05, 0.00013982, 0.00014211, 0.00014211, 0.00013088, 0.00013371]","[2.01533e-05, 3.69709e-05, 6.18566e-05, 7.18439e-05, 0.000100575, 0.0001180313]"
83,Bulker,55777.0,7,TAURANGA,0.000341167,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.05319531, 0.15260157, 0.35975803, 0.60334103, 0.67740566, 0.89444667]","[0.00011924, 9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00011553]","[6.3433e-06, 1.50633e-05, 4.74708e-05, 7.96121e-05, 8.93851e-05, 0.0001033368]"
85,Bulker,55777.0,7,LYTTELTON,0.0002679457,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.05445002, 0.15142667, 0.34728669, 0.57599609, 0.65128593, 0.6790628]","[0.00012132, 0.00012132, 0.00012132, 0.00010536, 0.00010536, 0.00010536]","[6.6061e-06, 1.83718e-05, 4.21345e-05, 6.06896e-05, 6.86225e-05, 7.15492e-05]"
91,Bulker,55531.0,7,TIMARU,0.0003920668,"[1.0, 0.999993, 0.999861, 0.999973, 0.999996, 1.0]","[0.0440035, 0.15402586, 0.38984959, 0.698437, 0.81839868, 0.89661833]","[9.156e-05, 0.00010558, 0.00010558, 0.00014047, 0.00014047, 0.00013117]","[4.0288e-06, 1.62623e-05, 4.11555e-05, 9.81082e-05, 0.0001149617, 0.0001176079]"
94,RoRo,22514.0,7,AUCKLAND,0.0004734559,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.998457]","[0.38422766, 0.47536535, 0.56888361, 0.64665999, 0.71369572, 0.91131539]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[5.06997e-05, 6.27255e-05, 7.50654e-05, 8.53282e-05, 9.41737e-05, 0.000105556]"
95,RoRo,22514.0,7,AUCKLAND,0.0004243285,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.36427686, 0.44721448, 0.53641098, 0.61038667, 0.67288818, 0.89824157]","[9.871e-05, 9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[3.59578e-05, 4.41446e-05, 7.07806e-05, 8.05418e-05, 8.8789e-05, 0.0001041881]"
96,RoRo,22514.0,7,AUCKLAND,0.0003784188,"[0.999913, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.25377927, 0.44105039, 0.53578305, 0.61802232, 0.68372721, 0.90495846]","[0.00013371, 0.00013195, 9.871e-05, 9.871e-05, 9.871e-05, 0.00011601]","[3.39294e-05, 5.81975e-05, 5.28872e-05, 6.1005e-05, 6.74908e-05, 0.0001049672]"
97,RoRo,22514.0,7,AUCKLAND,0.0004523453,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999913]","[0.35550652, 0.44719812, 0.53275948, 0.60628099, 0.66901376, 0.89569269]","[9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013371]","[3.50921e-05, 5.90087e-05, 7.02987e-05, 8.00001e-05, 8.82778e-05, 0.0001197511]"
98,RoRo,22514.0,7,AUCKLAND,0.0004129004,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.38680204, 0.46555024, 0.54889903, 0.63340351, 0.69936801, 0.74868179]","[9.871e-05, 9.871e-05, 9.871e-05, 0.00013195, 0.00013195, 0.00013195]","[3.81813e-05, 4.59545e-05, 5.41819e-05, 8.35789e-05, 9.22831e-05, 9.87901e-05]"
99,RoRo,22514.0,7,AUCKLAND,0.0004531381,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.998457]","[0.37050767, 0.46619178, 0.55668508, 0.63406174, 0.69828062, 0.91405345]","[9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[3.65728e-05, 6.1515e-05, 7.34558e-05, 8.36658e-05, 9.21396e-05, 0.0001058732]"
100,RoRo,22514.0,7,AUCKLAND,0.0004073209,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.998457]","[0.34857504, 0.42858347, 0.51612382, 0.61831323, 0.7017093, 0.91124705]","[9.871e-05, 9.871e-05, 9.871e-05, 0.00013195, 0.00013195, 0.00011601]","[3.44079e-05, 4.23055e-05, 5.09466e-05, 8.15877e-05, 9.2592e-05, 0.0001055481]"
101,RoRo,22514.0,7,AUCKLAND,0.0004365732,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.36945459, 0.46372793, 0.55707271, 0.63383561, 0.70284302, 0.90112806]","[9.871e-05, 9.871e-05, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[3.64689e-05, 4.57746e-05, 7.35069e-05, 8.36359e-05, 9.27416e-05, 0.0001045229]"
113,Container,110387.0,7,TAURANGA,0.0004354822,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.47332842, 0.48742357, 0.52139675, 0.57546628, 0.6292591, 0.68688378]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[5.77898e-05, 5.95107e-05, 6.36586e-05, 7.74551e-05, 8.46953e-05, 9.24513e-05]"
114,Container,110387.0,6,TAURANGA,0.0003855689,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.49813944, 0.53380407, 0.58374065, 0.64366731, 0.70160117]","[0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[6.0819e-05, 6.51734e-05, 7.85688e-05, 8.66346e-05, 9.44322e-05]"
115,Container,110387.0,7,TAURANGA,0.00042237,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.31579073, 0.49289081, 0.52716707, 0.57471973, 0.63085423, 0.69815428]","[0.00013195, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[4.16693e-05, 6.01782e-05, 6.43631e-05, 7.73546e-05, 8.491e-05, 9.39683e-05]"
116,Container,110387.0,7,TAURANGA,0.000421861,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.32321859, 0.49911257, 0.5320581, 0.57538383, 0.62649862, 0.6807012]","[0.00013195, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[4.26494e-05, 6.09378e-05, 6.49602e-05, 7.7444e-05, 8.43238e-05, 9.16192e-05]"
117,Container,110387.0,7,TAURANGA,0.0004244278,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.32869438, 0.49725038, 0.52799716, 0.57938367, 0.63359283, 0.68868922]","[0.00013195, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[4.33719e-05, 6.07105e-05, 6.44644e-05, 7.79823e-05, 8.52786e-05, 9.26943e-05]"
118,Container,110387.0,7,TAURANGA,0.0004539081,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.50097671, 0.51202493, 0.53950248, 0.59942392, 0.66696807, 0.6983463]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[6.11654e-05, 6.25143e-05, 6.58691e-05, 8.06797e-05, 8.97708e-05, 9.39941e-05]"
121,Container,52180.0,5,TAURANGA,0.0002408162,"[0.999989, 1.0, 1.0, 0.999989]","[0.35614786, 0.45439341, 0.49840935, 0.65673167]","[0.00013371, 0.00011063, 0.00011063, 0.00013371]","[4.76194e-05, 5.02695e-05, 5.5139e-05, 8.78095e-05]"
123,Container,52180.0,5,AUCKLAND,0.0002511137,"[0.999965, 1.0, 1.0, 0.999965]","[0.35963779, 0.47295125, 0.53552083, 0.68423438]","[0.00013371, 0.00011063, 0.00011063, 0.00013371]","[4.80849e-05, 5.23226e-05, 5.92447e-05, 9.14846e-05]"
125,Container,52180.0,6,NELSON,0.00023611,"[0.999986, 1.0, 1.0, 0.999986, 0.999847]","[0.26832773, 0.35739069, 0.48147836, 0.61979247, 0.68253162]","[0.00010558, 8.382e-05, 8.382e-05, 0.00010558, 0.00010558]","[2.83302e-05, 2.99552e-05, 4.03557e-05, 6.54381e-05, 7.20521e-05]"
126,Container,52180.0,7,AUCKLAND,0.00035369,"[0.999965, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.27081109, 0.40202869, 0.43062301, 0.46711356, 0.61784148, 0.67777623]","[0.00013371, 0.00011063, 0.00011063, 0.00011174, 0.00013371, 0.00013371]","[3.62084e-05, 4.44764e-05, 4.76398e-05, 5.21932e-05, 8.26076e-05, 9.06154e-05]"
127,Container,52180.0,7,AUCKLAND,0.0003171183,"[1.0, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.283735, 0.30542655, 0.33181212, 0.38963345, 0.6088169, 0.67889548]","[0.00011063, 0.00011063, 0.00011063, 0.00011063, 0.00013371, 0.00013371]","[3.13896e-05, 3.37893e-05, 3.67084e-05, 4.31051e-05, 8.1401e-05, 9.0765e-05]"
128,Container,52180.0,5,AUCKLAND,0.0002307634,"[0.999965, 1.0, 1.0, 0.999965]","[0.30000794, 0.41474028, 0.51294802, 0.65847432]","[0.00013371, 0.00011063, 0.00011063, 0.00013371]","[4.01121e-05, 4.58827e-05, 5.67474e-05, 8.80404e-05]"
129,Container,52180.0,7,AUCKLAND,0.0003415247,"[1.0, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.35349142, 0.395678, 0.41073702, 0.44186058, 0.57536419, 0.65037591]","[0.00011063, 0.00011063, 0.00011063, 0.00011174, 0.00013371, 0.00013371]","[3.91067e-05, 4.37738e-05, 4.54398e-05, 4.93715e-05, 7.69283e-05, 8.69521e-05]"
146,General Cargo,5351.0,5,NEW PLYMOUTH,0.0001120018,"[0.999975, 0.999999, 0.999999, 0.999986]","[0.13016317, 0.16967508, 0.2986385, 0.4069506]","[0.00010558, 8.776e-05, 8.776e-05, 0.00014047]","[1.37426e-05, 1.48906e-05, 2.62083e-05, 5.71644e-05]"
147,General Cargo,5351.0,5,NELSON,0.0001322908,"[0.999986, 1.0, 0.999965, 0.999933]","[0.15782919, 0.20081501, 0.29050791, 0.40724574]","[0.00010558, 8.776e-05, 0.00014047, 0.00014047]","[1.66637e-05, 1.76234e-05, 4.08068e-05, 5.72028e-05]"
148,General Cargo,10334.0,5,TAURANGA,0.00018012,"[1.0, 1.0, 1.0, 1.0]","[0.19838963, 0.25324891, 0.35563245, 0.60010891]","[0.00011482, 0.00012209, 0.0001346, 0.00013092]","[2.2779e-05, 3.09198e-05, 4.78665e-05, 7.8566e-05]"
150,General Cargo,10334.0,7,TAURANGA,0.0002207671,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.09640173, 0.1255129, 0.2065648, 0.37503717, 0.46626785, 0.59215563]","[9.591e-05, 9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.0001346]","[9.2457e-06, 1.20377e-05, 1.98113e-05, 4.30616e-05, 5.69277e-05, 7.97014e-05]"
155,General Cargo,10342.0,7,TAURANGA,0.0002280546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1117145, 0.16499304, 0.28481578, 0.37389028, 0.45871789, 0.55023047]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.00012209, 0.00012209]","[1.07144e-05, 1.58242e-05, 3.27024e-05, 4.56491e-05, 5.60059e-05, 6.71789e-05]"
158,Reefer,10316.0,6,TAURANGA,0.0001682064,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.12140253, 0.15619186, 0.23715007, 0.39137306, 0.5428106]","[9.591e-05, 9.591e-05, 9.591e-05, 0.00012209, 0.00013092]","[1.16435e-05, 1.49801e-05, 2.27447e-05, 4.77837e-05, 7.10645e-05]"
164,Container,52532.0,7,AUCKLAND,0.0003746701,"[1.0, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.36376957, 0.45137012, 0.46801501, 0.5010453, 0.63659434, 0.68568409]","[0.00011063, 0.00011063, 0.00011063, 0.00011174, 0.00013371, 0.00013371]","[4.02438e-05, 4.99351e-05, 5.17765e-05, 5.59846e-05, 8.5115e-05, 9.16726e-05]"
166,Container,52532.0,7,AUCKLAND,0.0003583201,"[0.999998, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.27750839, 0.3681188, 0.45804068, 0.48746783, 0.63470211, 0.68308343]","[0.00013088, 0.00011063, 0.00011063, 0.00011174, 0.00013371, 0.00013371]","[3.63199e-05, 4.0725e-05, 5.0673e-05, 5.44675e-05, 8.4862e-05, 9.13249e-05]"
167,Container,52532.0,7,AUCKLAND,0.0003462987,"[1.0, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.32910539, 0.36313056, 0.41026304, 0.4411644, 0.62681278, 0.68272491]","[0.00011063, 0.00011063, 0.00011063, 0.00011174, 0.00013371, 0.00013371]","[3.64089e-05, 4.01731e-05, 4.53874e-05, 4.92937e-05, 8.38071e-05, 9.1277e-05]"
168,Container,52532.0,7,AUCKLAND,0.0003622951,"[1.0, 1.0, 1.0, 1.0, 0.999902, 0.999998]","[0.33706567, 0.35394232, 0.40927352, 0.4467542, 0.61334639, 0.66533589]","[0.00011623, 0.00011623, 0.00013195, 0.00013195, 0.00013371, 0.00013088]","[3.91765e-05, 4.1138e-05, 5.40045e-05, 5.89502e-05, 8.20014e-05, 8.70781e-05]"
173,General Cargo,5642.0,5,AUCKLAND,0.0001582563,"[0.999659, 0.999862, 0.999659, 0.99997]","[0.19170242, 0.3136787, 0.38886164, 0.47028549]","[0.00011601, 0.00011601, 0.00011601, 0.00011601]","[2.22313e-05, 3.63839e-05, 4.50954e-05, 5.45548e-05]"
175,General Cargo,5642.0,6,AUCKLAND,0.0001239125,"[0.999659, 0.999862, 1.0, 1.0, 1.0]","[0.08832959, 0.11184911, 0.20860956, 0.2530129, 0.35655254]","[0.00011601, 0.00011601, 0.00011623, 0.00011623, 0.00013195]","[1.02434e-05, 1.29735e-05, 2.42463e-05, 2.94072e-05, 4.70479e-05]"
176,General Cargo,5642.0,6,AUCKLAND,0.0001323886,"[0.999659, 0.999862, 1.0, 1.0, 1.0]","[0.10938122, 0.13912908, 0.22391877, 0.27121718, 0.34879404]","[0.00011601, 0.00011601, 0.00011623, 0.00011623, 0.00013195]","[1.26847e-05, 1.61377e-05, 2.60256e-05, 3.1523e-05, 4.60241e-05]"
178,General Cargo,5642.0,5,AUCKLAND,0.0001134483,"[0.999659, 0.999862, 1.0, 1.0]","[0.13141865, 0.16562492, 0.27015405, 0.36075171]","[0.00011601, 0.00011601, 0.00011623, 0.00013195]","[1.52403e-05, 1.9211e-05, 3.13995e-05, 4.7602e-05]"
182,General Cargo,5642.0,7,AUCKLAND,0.0001769336,"[1.0, 1.0, 1.0, 1.0, 0.999862, 0.999659]","[0.11166519, 0.14655405, 0.19599991, 0.26094526, 0.38238554, 0.46832224]","[0.00010377, 0.00010377, 0.00011267, 0.00011267, 0.00011601, 0.00011601]","[1.15878e-05, 1.52083e-05, 2.20843e-05, 2.9402e-05, 4.43533e-05, 5.43102e-05]"
183,General Cargo,5642.0,7,AUCKLAND,0.0001855815,"[0.999903, 0.999862, 1.0, 1.0, 0.999993, 0.999659]","[0.11411935, 0.14300658, 0.23242572, 0.30430509, 0.38836948, 0.47165916]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011601, 0.00011601]","[1.32374e-05, 1.65875e-05, 2.42588e-05, 3.1761e-05, 4.50533e-05, 5.46972e-05]"
184,General Cargo,5642.0,7,AUCKLAND,0.0001992523,"[0.999659, 0.999862, 1.0, 1.0, 0.99997, 0.999659]","[0.15007082, 0.19760892, 0.2542173, 0.31579223, 0.3887099, 0.46874392]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011601, 0.00011601]","[1.74034e-05, 2.29209e-05, 2.65332e-05, 3.29599e-05, 4.50918e-05, 5.43591e-05]"
185,General Cargo,5642.0,7,AUCKLAND,0.0001949889,"[0.999862, 1.0, 1.0, 0.999993, 0.99997, 0.999659]","[0.13725375, 0.18287742, 0.23199393, 0.31318092, 0.38645216, 0.47101107]","[0.00011601, 0.00010437, 0.00010437, 0.00011601, 0.00011601, 0.00011601]","[1.59202e-05, 1.90873e-05, 2.42137e-05, 3.6331e-05, 4.48299e-05, 5.4622e-05]"
186,General Cargo,5642.0,7,AUCKLAND,0.0001768174,"[1.0, 0.999862, 1.0, 1.0, 1.0, 0.999659]","[0.08548179, 0.16745004, 0.21731844, 0.27688431, 0.35954741, 0.47085409]","[0.00011267, 0.00011601, 0.00010437, 0.00010437, 0.00011567, 0.00011601]","[9.6316e-06, 1.94227e-05, 2.2682e-05, 2.8899e-05, 4.15905e-05, 5.46038e-05]"
188,Reefer,10432.0,6,TAURANGA,0.0002021229,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.14399643, 0.21322914, 0.35342186, 0.42183585, 0.57893917]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.00013092]","[1.38105e-05, 2.04505e-05, 4.05797e-05, 5.15029e-05, 7.57945e-05]"
189,Reefer,10432.0,5,TAURANGA,0.0001699193,"[1.0, 1.0, 1.0, 1.0]","[0.21395664, 0.35645673, 0.44775154, 0.55251049]","[6.614e-05, 0.00011482, 0.00011482, 0.00011482]","[1.41517e-05, 4.09282e-05, 5.14106e-05, 6.3439e-05]"
194,Reefer,10100.0,7,TAURANGA,0.0002386296,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.09992211, 0.14330329, 0.19529869, 0.32668995, 0.51011592, 0.59212494]","[0.0001061, 0.0001061, 0.00013195, 0.00013092, 0.00013092, 0.00013092]","[1.06018e-05, 1.52046e-05, 2.57701e-05, 4.27701e-05, 6.67842e-05, 7.75208e-05]"
195,Reefer,10100.0,6,AUCKLAND,0.0002365326,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.24590982, 0.31433501, 0.40281523, 0.52924926, 0.62877658]","[0.00013195, 0.00013195, 9.871e-05, 0.0001061, 0.0001061]","[3.24483e-05, 4.14772e-05, 3.97619e-05, 5.61536e-05, 6.67135e-05]"
