imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date
9426805.0,HT CAPRICORN,Container,54182.0,Container,Medium,False,3030,2024-06-09
9334375.0,Independent Horizon,Container,35824.0,Container,Medium,False,380,2024-09-24
9802499.0,CMA CGM ABU DHABI,Container,28433.0,Container,Medium,True,182,2024-03-03
9680853.0,Perla Del Caribe,Container,36912.0,Container,Medium,False,2636,2024-12-30
9680841.0,Isla Bella,Container,36751.0,Container,Medium,False,1208,2024-12-26
9362413.0,Spirit Of Melbourne,Container,41483.0,Container,Medium,True,100,2024-12-10
9721970.0,Taino,Container,37462.0,Container,Medium,False,4545,2024-12-30
9400174.0,FORT DESAIX,Container,42609.0,Container,Medium,False,1637,2024-07-21
9535187.0,HERMANN SCHULTE,Container,59307.0,Container,Medium,False,512,2024-03-23
9951549.0,CMA CGM ENDURANCE,Container,73133.0,Container,Large,False,2800,2024-11-11
9306158.0,CHENNAI EXPRESS,Container,73934.0,Container,Large,False,49,2024-09-10
9262716.0,ARGUS,Container,75484.0,Container,Large,False,749,2024-11-10
9484948.0,Express Athens,Container,113973.0,Container,Large,False,66,2024-05-21
9348649.0,Maersk Atlanta,Container,74642.0,Container,Large,False,226,2024-12-31
9945485.0,ZIM CANADA,Container,114643.0,Container,Large,False,5618,2024-10-30
9400083.0,Maipo,Container,75752.0,Container,Large,False,780,2024-08-06
9685322.0,Seaspan Bravo,Container,113042.0,Container,Large,False,226,2024-07-29
9448798.0,Cosco Thailand,Container,91051.0,Container,Large,False,180,2024-09-16
9630420.0,XIAMEN EXPRESS,Container,113509.0,Container,Large,False,238,2024-04-28
9955296.0,HMM TURQUOISE,Container,126943.0,Container,Large,False,4160,2024-12-28
9612870.0,Tolten,Container,88586.0,Container,Large,False,400,2024-12-18
9409209.0,CMA CGM Maupassant,Container,73779.0,Container,Large,False,3442,2024-12-13
9472165.0,Cosco Hope,Container,141823.0,Container,Large,False,4312,2024-12-26
9944508.0,HMM PEARL,Container,126995.0,Container,Large,False,18991,2024-08-14
9424912.0,ONE MAJESTY,Container,78410.0,Container,Large,False,2668,2024-05-12
9385893.0,Frisiana,General Cargo,5937.0,General Cargo,Small,False,1700,2024-06-21
9616058.0,Balsa 91,General Cargo,5698.0,General Cargo,Small,False,1799,2024-12-25
9258985.0,Onego Rio,General Cargo,7576.0,General Cargo,Small,False,161,2024-11-02
9485784.0,Oslo Bulk 3,General Cargo,5629.0,General Cargo,Small,False,1052,2024-08-13
9580273.0,Balsa 86,General Cargo,5715.0,General Cargo,Small,False,2237,2024-12-19
9485796.0,Oslo Bulk 5,General Cargo,5629.0,General Cargo,Small,False,2180,2024-10-26
9374973.0,PUKA,General Cargo,8999.0,General Cargo,Small,False,750,2024-08-12
9435765.0,Houtmangracht,General Cargo,9611.0,General Cargo,Small,False,2838,2024-08-29
9485758.0,Oslo Bulk 1,General Cargo,5629.0,General Cargo,Small,False,1240,2024-10-24
8204171.0,Tropic Lure,General Cargo,1827.0,General Cargo,Small,False,40,2024-12-19
9366122.0,Sea Carrier,General Cargo,6668.0,General Cargo,Small,False,55,2024-03-31
9594315.0,UAL OSPREY,General Cargo,6190.0,General Cargo,Small,False,260,2024-11-12
9453793.0,BBC ALASKA,General Cargo,9627.0,General Cargo,Small,False,2409,2024-06-02
9197911.0,Spiegelgracht,General Cargo,16641.0,General Cargo,Medium,False,500,2024-05-31
9810769.0,ASTERIUS,General Cargo,21198.0,General Cargo,Medium,False,10234,2024-12-21
9625607.0,DEVBULK BEGUM,General Cargo,19999.0,General Cargo,Medium,False,8053,2024-10-02
