imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages
9843015,357591000,SAYSIAT BENEFIT,General Cargo,General Cargo,1
9843376,538009750,DARYA PREETI,Bulk Carrier,Bulker,1
9843443,210085000,CANOPUS,Bulk Carrier,Bulker,1
9843780,538008142,LARGO CALIFORNIA,Tanker,Tanker,2
9846146,352410000,KEN BOS,High Speed Passenger Craft,Passenger,5
9846158,371365000,KEN ANN,Bulk Carrier,Bulker,4
9846275,636019139,BEECHGATE,Bulk Carrier,Bulker,1
9846316,370316000,SE CARDI,Bulk Carrier,Bulker,3
9848089,538008489,SSI PRIVILEGE,Cargo,General Cargo,1
9848584,257080210,MARI COUVA,Tanker,Tanker,4
9848687,257083330,MARI KOKAKO,Tanker,Tanker,2
9850202,563105300,TAKAROA SUN,Tanker,Tanker,2
9850214,354764000,CREOLE SUN,Oil/ Chemical Tanker,Tanker,2
9852688,374016000,BERGE JEBEL JAIS,Other Type of Ship,Other,4
9852690,538008434,UNION FUJI,General Cargo,General Cargo,1
9852705,311000877,AFRICAN WREN,General Cargo,General Cargo,2
9852717,311000878,AFRICAN WARBLER,General Cargo,General Cargo,1
9852729,538008587,BRAVE STAR,General Cargo,General Cargo,2
9853242,636018613,NAVIG8 GRATITUDE,Oil/ Chemical Tanker,Tanker,3
9854832,477392500,TS QINGDAO,Container Ship,Container,2
9854844,477468100,TS PUSAN,Container Ship,Container,2
9859313,563080300,CD CALLAO,Bulk Carrier,Bulker,1
9860207,563091900,HONOR GALAXY,Tanker,Tanker,1
9860269,563115200,KAIFONG,Bulk Carrier,Bulker,1
9860609,353443000,BUNUN LEADER,Bulk Carrier,Bulker,1
9860611,538010199,IONIAN SEA,Bulk Carrier,Bulker,1
9860714,371882000,NOSHIMA,Bulk Carrier,Bulker,1
9860788,373054000,NEMRUT BAY,Bulk Carrier,Bulker,2
9864368,538008526,PROTEUS,Tanker,Tanker,1
9864887,538009664,ASTRO ALTAIR,Bulk Carrier,Bulker,2
9864899,538009798,ASTRO DENEBOLA,General Cargo,General Cargo,1
9866536,371186000,AFRICAN OASIS,Cargo,General Cargo,1
9866639,563183200,BAMBOO STAR,Bulk Carrier,Bulker,3
9866665,353995000,OCEAN UNIVERSE,General Cargo,General Cargo,1
9867073,636019548,GOLDEN SAGITTARIUS,Tanker,Tanker,2
9867372,374448000,BUNUN MIRACLE,Bulk Carrier,Bulker,1
9873735,477539500,SINGAN,Bulk Carrier,Bulker,6
9873747,477591800,SUNGKIANG,Bulk Carrier,Bulker,3
9874583,372582000,GOLDEN HACHI,Tanker,Tanker,2
9874662,538008812,ATLANTIC PRINCE,Tanker,Tanker,1
9874985,370865000,BERGE SCAFELL PIKE,Bulk Carrier,Bulker,2
9876385,563102700,PELICAN PACIFIC,Tanker,Tanker,1
9877334,563109700,WECO LAURA,General Cargo,General Cargo,1
9880398,477629800,FOREVER ASSURANCE,Tanker,Tanker,1
9881067,357843000,GOLDEN MIND,Tanker,Tanker,1
9881873,563129700,D10S,Bulk Carrier,Bulker,1
9882372,353369000,KOWHAI,Reefer,Reefer,12
9882748,563102300,GOLDEN AUSTRALIS,Tanker,Tanker,1
9883003,352546000,PAN NOVA,Bulk Carrier,Bulker,4
9883027,636020010,MAXIMOS,Bulk Carrier,Bulker,1
9883041,538009004,NORD MINAMI,Tanker,Tanker,1
9884605,636019823,MAKEDONIKOS,Bulk Carrier,Bulker,1
9884825,538009440,CELSIUS PHILADELPHIA,Tanker,Tanker,1
9888857,370740000,AFRICAN FINCH,Bulk Carrier,Bulker,2
9888869,563116200,EASTERN HAWK,Bulk Carrier,Bulker,3
9889100,372424000,AZUL ACE,Cargo,General Cargo,1
9889124,636020250,ATLANTIC BLUE,Tanker,Tanker,1
9889655,538008974,AFRICAN MARGAUX,Bulk Carrier,Bulker,2
9890240,563128400,KIAN,Bulk Carrier,Bulker,1
9890630,636019791,CL FUZHOU HE,Bulk Carrier,Bulker,1
9890680,353826000,BUNUN RESPECT,Bulk Carrier,Bulker,4
9890745,370820000,WHERO,Reefer,Reefer,16
9890903,354777000,AFRICAN PIPIT,Bulk Carrier,Bulker,2
