imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages
9326079,371522000,TRANS FUTURE 5,Vehicle Carrier,RoRo,15
9326081,371797000,TRANS FUTURE 6,Vehicle Carrier,RoRo,14
9326093,636017295,TRANS FUTURE 7,Vehicle Carrier,RoRo,14
9326201,371352000,MAEA,Tanker,Tanker,2
9326316,477968700,ORIENTAL SPIRIT,Bulk Carrier,Bulker,2
9326328,477007200,SHANGHAI SPIRIT,Bulk Carrier,Bulker,3
9328601,413170000,XIN ZHANG ZHOU,Container Ship,Container,17
9329540,477007100,OOCL BUSAN,Container Ship,Container,18
9331220,564411000,THOR MONADIC,Bulk Carrier,Bulker,1
9331907,477407100,COLUMBIA RIVER,Bulk Carrier,Bulker,1
9332937,266261000,FIDELIO,Vehicle Carrier,RoRo,2
9334246,370552000,DREAM JASMINE,Ro-Ro Cargo,RoRo,11
9336074,440204000,MORNING COMPOSER,Vehicle Carrier,RoRo,2
9336763,371977000,ALPHA BULKER,Bulk Carrier,Bulker,2
9336787,565080000,IVS KINGBIRD,Bulk Carrier,Bulker,1
