imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9584231,477813300,YANGTZE GRACE,Cargo,General Cargo,1,32503,20969,Bulk Carrier,,ok
9584243,477211700,YANGTZE HAPPINESS,Bulk Carrier,Bulker,1,32377,20969,Bulk Carrier,,ok
9587178,477266700,MAPLE FORTITUDE,Bulk Carrier,Bulker,1,32480,20867,Bulk Carrier,,ok
9589724,371061000,POAVOSA WISDOM VI,Bulk Carrier,Bulker,1,28213,17027,Bulk Carrier,,ok
9591052,370644000,MERCURY ACE,Vehicle Carrier,RoRo,2,19110,59409,Vehicles Carrier,,ok
9593294,566262000,ANNE,Bulk Carrier,Bulker,1,55747,31540,Bulk Carrier,,ok
9593672,566307000,KOTA BAHAGIA,General Cargo,General Cargo,1,24964,18189,Heavy Load Carrier,,ok
9596179,538007639,ST GREG,Cargo,General Cargo,1,57949,32311,Bulk Carrier,,ok
9597410,370922000,CORETALENT OL,Bulk Carrier,Bulker,5,31669,19816,Bulk Carrier,,ok
9597434,357417000,WONDERFUL SW,Bulk Carrier,Bulker,3,31702,19819,Bulk Carrier,,ok
9597678,353006000,CORELEADER OL,General Cargo,General Cargo,1,37118,22866,General Cargo Ship,,ok
9604732,538008745,IVS MAGPIE,Bulk Carrier,Bulker,2,28240,17019,Bulk Carrier,,ok
9604744,566421000,M.V IVS IBIS,Bulk Carrier,Bulker,2,28238,17019,Bulk Carrier,,ok
9604914,636015657,GRACIOUS ACE,Vehicle Carrier,RoRo,2,18924,59583,Vehicles Carrier,,ok
9605322,432855000,TAHAROA DESTINY,Ore/Bulk Carrier,Bulker,1,176594,90267,Ore Carrier,,ok
9605798,257268000,TOSCA,Vehicle Carrier,RoRo,1,22585,61106,Vehicles Carrier,,ok
9606027,564761000,SOUTHERN CROSS,Bulk Carrier,Bulker,5,37085,22871,General Cargo Ship,,ok
9606479,431934000,ETERNAL ACE,Vehicle Carrier,RoRo,1,18418,59601,Vehicles Carrier,,ok
9606534,477978700,CLEARWATER BAY,Cargo,General Cargo,1,29118,18465,Bulk Carrier,,ok
9606546,566507000,UNI CHALLENGE,Bulk Carrier,Bulker,1,29078,18465,Bulk Carrier,,ok
9607459,255805360,NORDIC WECO,Bulk Carrier,Bulker,1,34236,24341,Bulk Carrier,,ok
9607825,563214500,DA AN,General Cargo,General Cargo,1,29840,22566,General Cargo Ship,,ok
9608312,636022314,DA KANG,General Cargo,General Cargo,2,29863,22566,General Cargo Ship,,ok
9608398,563210400,DA CHANG,General Cargo,General Cargo,2,29902,22566,General Cargo Ship,,ok
9608403,413478240,DA DE,General Cargo,General Cargo,2,29572,21828,General Cargo Ship,,ok
9608427,413478230,DA XIN,General Cargo,General Cargo,1,29565,21828,General Cargo Ship,,ok
9608439,413479110,DA ZHI,General Cargo,General Cargo,3,29496,21828,General Cargo Ship,,ok
9608702,229266000,OLIVIA,Bulk Carrier,Bulker,2,32203,20928,Bulk Carrier,,ok
9609330,577175000,GLOBAL STRIKER,Bulk Carrier,Bulker,1,32976,20254,General Cargo Ship,,ok
9609354,352821000,COOL HERO,Bulk Carrier,Bulker,1,34481,21519,Bulk Carrier,,ok
9610406,431605000,VICTORIOUS ACE,Vehicle Carrier,RoRo,1,18396,59598,Vehicles Carrier,,ok
9610676,477427600,JAMES BAY,Bulk Carrier,Bulker,1,37633,24428,Bulk Carrier,,ok
9610688,477652700,JERVIS BAY,Bulk Carrier,Bulker,2,37629,24428,Bulk Carrier,,ok
