n_ports,total_span_days,avg_dwell_time,dwell_ratio,DWT,total_distance,max_distance_per_leg,origin_latitude,lon_sin,lon_cos,longitude_range,hemisphere_crossing,n_territories,type_Bulker,type_Container,type_General Cargo,type_Other,type_Passenger,type_Reefer,type_RoRo,type_Tanker
-0.3847551571862075,0.4788119606322938,0.42706122380823164,-0.06518278463162475,0.46259081087744647,-0.6654235210547967,-1.0183248491206396,-0.8411144369754703,0.8382306997630598,0.18245933037396272,-0.5706616098024048,-2.356959071492339,-1.1056913180953083,1,0,0,0,0,0,0,0
-0.3847551571862075,1.6372887497281698,1.311870466036015,0.6549811657839137,-1.0995540995399378,2.306081204849013,1.074920617377911,1.880198348140379,0.15108355236951296,2.5353961815925556,1.3698322964819176,0.42427550486349236,0.7443542860380179,0,0,0,0,0,1,0,0
0.8102953438059464,1.3011381040087922,0.7831709286722298,0.33698875190197924,-1.0995540995399378,2.0171063740481587,1.108804965125922,1.8801654191089257,0.1515136739071589,2.5350633216968266,1.093975459508833,0.42427550486349236,0.7443542860380179,0,0,0,0,0,1,0,0
-0.3847551571862075,-0.7841021099515879,-0.804895034456261,-0.892138935836595,-1.3986882757633357,0.09114082538187883,1.1232319836952507,-0.20394179448068336,-2.0213689937810524,1.1251983041722944,1.0941421193753178,0.42427550486349236,-0.18066851602864512,0,0,0,0,0,1,0,0
-0.3847551571862075,0.8536405813391554,0.5318973693649218,-0.0949052040963123,-1.3986882757633357,2.1394418421448287,1.1224174854451674,1.8705254451509363,0.12986849270458978,2.5514931028856696,1.0941064702060164,0.42427550486349236,0.7443542860380179,0,0,0,0,0,1,0,0
-1.5798056581783615,0.6860801015013421,0.7378466927340882,-0.24475588513813246,-0.8999989535541414,2.0623359202497644,1.0454471518688553,-0.2043451751159878,-2.0214710701956324,1.1244083904056161,1.4359303125133362,0.42427550486349236,-0.18066851602864512,0,0,1,0,0,0,0,0
-1.5798056581783615,1.0952916443871041,0.7759515528006636,-0.26221601860333776,-0.8999989535541414,3.1218619016915183,1.2033977026907992,0.7994963487415861,-1.8686216971999525,-0.18805590239894152,1.4099634575940159,0.42427550486349236,-1.1056913180953083,0,0,0,0,0,1,0,0
0.8102953438059464,0.33469233747799026,-0.4646720424389976,-0.7855674241705765,-1.3249408847586108,1.0387611370691412,2.442776971838098,0.7005528414819161,0.2161115988379,2.482020792793919,0.11034892751314637,0.42427550486349236,0.7443542860380179,0,0,0,0,0,1,0,0
-1.5798056581783615,0.6243795234735513,1.3917106579576413,0.6803654485645948,-1.3249408847586108,2.1795449218519956,1.0431632218971634,-0.20422580737696913,-2.0213640415642864,1.1252365805189293,1.43534923105372,0.42427550486349236,-0.18066851602864512,0,0,0,0,0,1,0,0
-0.3847551571862075,1.5598221420800755,0.9401903594925738,0.1238408946929208,-0.6235462357850736,2.0169132554726086,1.5465459476306285,0.8845108756964586,-0.20017313244317242,2.7302863170372587,1.1158462248753938,0.42427550486349236,0.7443542860380179,0,0,1,0,0,0,0,0
-1.5798056581783615,1.4983381929379518,1.309673558428838,0.23251904318133715,-0.8999989535541414,3.1805029076006304,1.045578609601656,0.7993893293893625,-1.8685717967604927,-0.18818353935911306,1.4358812949055466,0.42427550486349236,-1.1056913180953083,0,0,1,0,0,0,0,0
-0.3847551571862075,1.4282013076831555,0.5893946027425124,-0.523227976430645,-1.6226579293476844,3.9414755500055296,1.2456598762521909,-0.2241396391484262,-2.019469293501498,1.1395808709019974,1.0942267861524093,0.42427550486349236,0.7443542860380179,0,0,0,0,0,1,0,0
0.8102953438059464,1.3721264974371428,0.36315797137857103,-0.2334342343031677,-1.2059047274681423,2.1742354665853765,1.6276747434011523,1.5287056341486878,-0.4761164876075365,2.7913620255330764,1.0682804295054371,0.42427550486349236,0.7443542860380179,0,0,1,0,0,0,0,0
-0.3847551571862075,1.63887641789034,0.8625957231313015,-0.00905803283394559,-1.6389139121590754,2.5435035156538794,1.6255157213687572,1.8741641031265395,0.1701491929361801,2.520389099578959,1.068226064522252,0.42427550486349236,0.7443542860380179,0,0,1,0,0,0,0,0
-1.5798056581783615,0.3907193205463822,0.5537578970011238,-0.21658243759286958,-1.6362423357552451,1.991994147168375,0.5639677732044027,-1.819489471132754,0.18814255377479996,2.5057438728009673,0.10533932799703236,0.42427550486349236,-0.18066851602864512,0,0,0,0,0,1,0,0
0.8102953438059464,-1.471661151788424,-1.94699871882215,-1.2132517258356277,-0.43195430996133566,-0.5781403947480026,-0.08407105407490642,0.9320357003416102,0.6078363653457832,-0.44312486522309047,-0.7283993804406409,0.42427550486349236,-0.18066851602864512,0,0,0,0,0,0,1,0
0.8102953438059464,-1.6445013564736943,-2.163474385671685,-1.2807359932274671,-0.43195430996133566,-0.7243649638106002,-0.15938501960653353,0.8589538311596714,0.5799448047562147,-0.4927179836066619,-0.7767735207245126,0.42427550486349236,-0.18066851602864512,0,0,0,0,0,0,1,0
0.8102953438059464,0.6184902387031435,0.2048315875303173,0.013969758660210406,-0.43195430996133566,-0.17899648079380157,-0.014231213907833697,0.6888218740266343,0.6685800638505561,-0.3227502046175719,-0.7239842308226317,0.42427550486349236,-0.18066851602864512,0,0,0,0,0,0,1,0
