voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,total_span_days,p_invasion,pa_mean,pi_mean,pe_mean
2249,RoRo,1,30089,7,AUCKLAND,31.515,0.0004252589,1.0,0.6102799933333333,0.00011551833333333333
2250,RoRo,1,30089,7,AUCKLAND,36.28173611,0.0004031999,1.0,0.5785144999999999,0.00011551833333333333
2252,General Cargo,4,33354,5,TAURANGA,43.87211806,0.0002922378,1.0,0.5636901999999999,0.000125275
2255,General Cargo,4,33376,6,TAURANGA,56.97478009,0.0003376697,1.0,0.529589444,0.000124226
2257,General Cargo,4,33443,6,AUCKLAND,55.40634259,0.0003786337,0.9999904000000001,0.58066259,0.000128646
2278,General Cargo,4,33420,6,AUCKLAND,45.39280093,0.0003866064,1.0,0.5665318079999999,0.000133562
2280,General Cargo,4,33420,5,GISBORNE,57.41716435,0.0003511543,0.99999775,0.652360995,0.000134115
2281,General Cargo,4,33420,5,AUCKLAND,37.94447917,0.000266509,1.0,0.5630901524999999,0.00011533
2286,Container,4,34362,5,AUCKLAND,29.25384259,0.000223546,0.99996675,0.4474750675,0.00012217
2287,Container,3,34362,7,NELSON,29.77810185,0.0003081488,0.9999729999999999,0.4323082649999999,0.00011699999999999998
2292,Container,0,34362,7,AUCKLAND,44.50708333,0.0002784058,0.9999778333333332,0.3819208566666667,0.00011850833333333333
2294,Container,3,34362,6,NELSON,21.04400463,0.0002578905,0.9999096,0.4801131659999999,0.00010907
2296,RoRo,1,28084,7,AUCKLAND,46.76777778,0.0003644767,1.0,0.5366502366666667,0.000111155
2297,RoRo,1,28084,7,AUCKLAND,44.90542824,0.0003710638,1.0,0.5396033399999999,0.00011236666666666667
2301,RoRo,1,28080,7,AUCKLAND,39.8853588,0.0003665481,1.0,0.5367811333333333,0.00011253499999999999
2311,Bulker,4,28456,5,NELSON,46.85659722,0.000222436,0.9999585,0.5329432325000001,0.00010553749999999998
2345,Container,4,52513,7,TAURANGA,52.82491898,0.0003433148,0.9999921666666666,0.43812070833333333,0.00012973833333333333
2348,General Cargo,3,19497,7,TAURANGA,15.65560185,0.0003993734,0.999996,0.6115120916666665,0.00010727666666666665
2349,General Cargo,3,19497,7,TAURANGA,18.13506944,0.0003923192,0.999996,0.59988587,0.00010727666666666665
2350,General Cargo,3,19497,7,TAURANGA,19.05829861,0.0003959362,0.999996,0.6051430816666666,0.00010727666666666665
2352,Tanker,0,46180,7,NEW PLYMOUTH,46.50793981,0.0001858182,0.9999998333333333,0.3492019416666667,9.035499999999998e-05
2356,Container,1,51653,5,TAURANGA,43.27398148,0.0002642911,0.999991,0.49170857,0.00013385749999999998
2357,Container,1,51653,5,AUCKLAND,33.38461806,0.0001867208,1.0,0.431475655,0.00010551000000000001
2361,Container,1,51653,7,AUCKLAND,50.40510417,0.0002525417,1.0,0.39435582333333336,0.00010579166666666667
2363,Container,1,51653,5,AUCKLAND,32.95959491,0.0001897741,1.0,0.4405654725,0.00010551000000000001
2365,Container,1,51653,6,TAURANGA,48.19576389,0.0002622603,0.9999928,0.42125691400000004,0.000121644
2366,Container,1,51653,5,AUCKLAND,46.84215278,0.0001736887,1.0,0.39127017999999997,0.0001101675
2370,Container,1,51653,6,AUCKLAND,46.42090278,0.0002125564,1.0,0.392374616,0.00010754200000000001
2374,Container,1,51653,5,AUCKLAND,42.14810185,0.0001907122,1.0,0.4311314725,0.0001101675
2375,Container,0,51653,7,TAURANGA,41.21060185,0.0003601461,0.9999921666666668,0.44732600666666666,0.00013368666666666666
2378,Container,1,51653,5,AUCKLAND,42.93215278,0.0001887543,1.0,0.42689901,0.0001101675
2382,Container,1,53139,7,TAURANGA,38.26263889,0.0002910215,1.0,0.41339084499999995,0.00011658833333333335
2384,Container,1,53139,7,TAURANGA,57.20297454,0.0002205284,1.0,0.3629651233333333,9.624e-05
