hops_to_nz,n,mean,median,std
1,2432,8.255445439967106e-05,8.074155e-05,2.2059622280442097e-05
2,2432,6.673347331414474e-05,6.422515e-05,1.8673723213976176e-05
3,2432,5.3157669531249994e-05,5.1693399999999995e-05,1.5622613779368487e-05
4,2432,3.9275118914473685e-05,3.917575e-05,1.5548019900368914e-05
5,1846,3.127061143011917e-05,3.34138e-05,1.6209773496314335e-05
6,1369,2.7695046018991967e-05,2.95188e-05,1.4822053923117253e-05
