vessel_type,n,mean,median,std
RoRo,341,0.0003593697692082112,0.0003623711,5.5096254914495046e-05
General Cargo,273,0.0002884250007326007,0.0002718605,8.428343225358661e-05
Passenger,5,0.00028422404,0.000294236,0.00017288460290294216
Container,969,0.0002836017661506708,0.0002848708,7.694521031218351e-05
Bulker,624,0.0002529053072115385,0.00024757105,5.755309224194994e-05
Reefer,87,0.00024654187816091955,0.0002456474,3.53657626427339e-05
Tanker,126,0.00020040472063492063,0.00020323729999999999,4.993681285667689e-05
Other,7,0.00019919674285714286,0.0002310873,0.00010318995209507008
